Category,Constituent Genres
"Classic Rock & Mainstream Rock","classic rock; album rock; soft rock; modern rock; acoustic rock; rock; rock en español"
"Alternative & Indie Rock","midwest emo; alternative rock; art rock; britpop; indie rock; indie; indie dance; indietronica; chinese indie; japanese indie; vietnam indie; taiwanese indie; indonesian indie"
"Psychedelic & Experimental Rock","electronic rock; surf rock; stoner rock; psychedelic rock; space rock; progressive rock; math rock; noise rock; garage rock; shoegaze; post-rock; slowcore"
"Metal (Core to Symphonic)","heavy metal; metal; glam metal; power metal; black metal; death metal; melodic death metal; metalcore; progressive metal; symphonic metal; nu metal"
"Alternative & Industrial Metal","folk metal; alternative metal; djent; pirate metal; industrial metal; industrial rock; medieval metal"
"Punk, Emo & Post Genres","punk; hardcore punk; post-punk; post-grunge; grunge; emo; visual kei"
"Asian Rock & Pop Rock Hybrids","chinese rock; j-rock; k-rock; v-pop; lovers rock"
"Low-fi","lo-fi; lo-fi beats"
"Global Pop, Art, Indie & Bedroom Pop","k-ballad; vocaloid; german pop; j-pop; k-pop; c-pop; cantopop; mandopop; taiwanese pop; kayokyoku; opm; shibuya-kei; pop; pop punk; power pop; dream pop; soft pop; bedroom pop; art pop; baroque pop; city pop; jangle pop"
"Dance Pop & Retro Pop","anime; chanson; new wave; disco; disco polo; europop; freestyle; psychedelic pop; dance pop"
"Hip Hop Core","g-funk; hip hop; rap; boom bap; gangster rap; east coast hip hop; west coast hip hop; underground hip hop"
"Alt, Experimental & Regional Hip Hop","alternative hip hop; experimental hip hop; meme rap; horrorcore; nerdcore; cloud rap; phonk; dark trap"
"Global Hip Hop & R&B","chinese hip hop; german hip hop; norwegian rap; pinoy hip hop; j-rap; k-rap; chinese r&b; j-r&b; indie r&b"
"Soul & R&B (Classic to Neo)","r&b; alternative r&b; quiet storm; retro soul; motown; neo soul; new jack swing"
"Jazz & Fusion Styles","jazz; classic blues; cool jazz; bebop; big band; smooth jazz; hard bop; acid jazz; jazz fusion; jazz funk; nu jazz; swing music; ethiopian jazz; jazz beats; indie jazz; jazz rap"
"Blues & Funk","blues; blues rock; funk; funk rock; soul"
"Electronic Mainstream","techno; edm; vocaloid; dm; big room; future bass; electro house; future house; bass house; piano house; melodic house"
"Club House & Dance","riddim; uk garage; chicago house; big beat; uk drill; house; funky house; chillstep; french house; afro house; brazilian bass; hands up; tech house; disco house; dub techno; minimal techno; lo-fi house"
"Hardcore, Trance & Techno","melbourne bounce; hard techno; hardstyle; speedcore; gabber; breakcore; trance; acid techno; eurodance; hard house; frenchcore"
"Breakbeat, Jungle & DnB","breakbeat; breakcore; jungle; drum and bass; drumstep; liquid funk; happy hardcore"
"Glitch & Experimental Electronica","hyperpop; jersey club; dubstep; glitch; idm; ambient; dark ambient; nightcore; stutter house; indietronica; vaporwave; trip hop"
"Synthwave, Retro & Alt-Electro","synthwave; hi-nrg; italo disco; nu disco; electro swing"
"Psytrance & Global Underground","psytrance; tekno; japanese vgm; j-dance; vinahouse; latin house"
"Country & Americana","celtic; country; alt country; americana; gothic country; christian country; honky tonk; traditional country"
"Folk (Traditional to Punk)","bluegrass; folk; folk rock; folk pop; folk punk; sea shanties; polka; singer-songwriter; indie folk"
"Classical & Orchestral","classical; classical piano; orchestra; neoclassical; medieval; japanese classical; soundtrack; adult standards; gufeng"
"Latin, Bossa & Reggae","reggae; ska; ska punk; reggae rock; zouk; dembow; latin indie; bossa nova; exotica"
"Spiritual/Religious/World","enka; gospel; christian country"
"Miscellaneous","children's music; comedy; dark cabaret; No Labeled Genre"
